trip\01\00009.wav=Adam, @20356
trip\01\00010.wav=Adam!! @20472
trip\01\00011.wav=Adam, @20592
trip\01\00012.wav=Adam, @20708
trip\01\00013.wav=Adam, @20824
trip\01\00014.wav=Adam, @20940
trip\01\00015.wav=Adam, @21056
trip\01\00016.wav=Adam, @21172
trip\01\00017.wav=Al, @21280
trip\01\00018.wav=Al!! @21380
trip\01\00019.wav=Al, @21484
trip\01\00020.wav=Al, @21584
trip\01\00021.wav=Al, @21684
trip\01\00022.wav=Al, @21784
trip\01\00023.wav=Al, @21884
trip\01\00024.wav=Al, @21984
trip\01\00025.wav=Amy, @22088
trip\01\00026.wav=Amy!! @22196
trip\01\00027.wav=Amy, @22308
trip\01\00028.wav=Amy, @22416
trip\01\00029.wav=Amy, @22524
trip\01\00030.wav=Amy, @22632
trip\01\00031.wav=Amy, @22740
trip\01\00032.wav=Amy, @22848
trip\01\00033.wav=Andrew, @22960
trip\01\00034.wav=Andrew!! @23084
trip\01\00035.wav=Andrew, @23212
trip\01\00036.wav=Andrew, @23336
trip\01\00037.wav=Andrew, @23460
trip\01\00038.wav=Andrew, @23584
trip\01\00039.wav=Andrew, @23708
trip\01\00040.wav=Andrew, @23832
trip\01\00041.wav=Anne, @23948
trip\01\00042.wav=Anne!! @24056
trip\01\00043.wav=Anne, @24168
trip\01\00044.wav=Anne, @24276
trip\01\00045.wav=Anne, @24384
trip\01\00046.wav=Anne, @24492
trip\01\00047.wav=Anne, @24600
trip\01\00048.wav=Anne, @24708
trip\01\00049.wav=Ashley, @24820
trip\01\00050.wav=Ashley!! @24940
trip\01\00051.wav=Ashley, @25064
trip\01\00052.wav=Ashley, @25184
trip\01\00053.wav=Ashley, @25304
trip\01\00054.wav=Ashley, @25424
trip\01\00055.wav=Ashley, @25544
trip\01\00056.wav=Ashley, @25664
trip\01\00057.wav=Audrey, @25784
trip\01\00058.wav=Audrey!! @25904
trip\01\00059.wav=Audrey, @26028
trip\01\00060.wav=Audrey, @26148
trip\01\00061.wav=Audrey, @26268
trip\01\00062.wav=Audrey, @26388
trip\01\00063.wav=Audrey, @26508
trip\01\00064.wav=Audrey, @26628
trip\01\00065.wav=Ben, @26748
trip\01\00066.wav=Ben!! @26856
trip\01\00067.wav=Ben, @26968
trip\01\00068.wav=Ben, @27076
trip\01\00069.wav=Ben, @27184
trip\01\00070.wav=Ben, @27292
trip\01\00071.wav=Ben, @27400
trip\01\00072.wav=Ben, @27508
trip\01\00073.wav=Beth, @27616
trip\01\00074.wav=Beth!! @27728
trip\01\00075.wav=Beth, @27844
trip\01\00076.wav=Beth, @27956
trip\01\00077.wav=Beth, @28068
trip\01\00078.wav=Beth, @28180
trip\01\00079.wav=Beth, @28292
trip\01\00080.wav=Beth, @28404
trip\01\00081.wav=Bob, @28516
trip\01\00082.wav=Bob!! @28624
trip\01\00083.wav=Bob, @28736
trip\01\00084.wav=Bob, @28844
trip\01\00085.wav=Bob, @28952
trip\01\00086.wav=Bob, @29060
trip\01\00087.wav=Bob, @29168
trip\01\00088.wav=Bob, @29276
trip\01\00089.wav=Brad, @29384
trip\01\00090.wav=Brad!! @29496
trip\01\00091.wav=Brad, @29612
trip\01\00092.wav=Brad, @29724
trip\01\00093.wav=Brad, @29836
trip\01\00094.wav=Brad, @29948
trip\01\00095.wav=Brad, @30060
trip\01\00096.wav=Brad, @30172
trip\01\00097.wav=Brenda, @30292
trip\01\00098.wav=Brenda!! @30420
trip\01\00099.wav=Brenda, @30552
trip\01\00100.wav=Brenda, @30680
trip\01\00101.wav=Brenda, @30808
trip\01\00102.wav=Brenda, @30936
trip\01\00103.wav=Brenda, @31064
trip\01\00104.wav=Brenda, @31192
trip\01\00105.wav=Brian, @31316
trip\01\00106.wav=Brian!! @31436
trip\01\00107.wav=Brian, @31560
trip\01\00108.wav=Brian, @31680
trip\01\00109.wav=Brian, @31800
trip\01\00110.wav=Brian, @31920
trip\01\00111.wav=Brian, @32040
trip\01\00112.wav=Brian, @32160
trip\01\00113.wav=Carol, @32284
trip\01\00114.wav=Carol!! @32408
trip\01\00115.wav=Carol, @32536
trip\01\00116.wav=Carol, @32660
trip\01\00117.wav=Carol, @32784
trip\01\00118.wav=Carol, @32908
trip\01\00119.wav=Carol, @33032
trip\01\00120.wav=Carol, @33156
trip\01\00121.wav=Cathy, @33276
trip\01\00122.wav=Cathy!! @33396
trip\01\00123.wav=Cathy, @33520
trip\01\00124.wav=Cathy, @33640
trip\01\00125.wav=Cathy, @33760
trip\01\00126.wav=Cathy, @33880
trip\01\00127.wav=Cathy, @34000
trip\01\00128.wav=Cathy, @34120
trip\01\00129.wav=Chloe, @34236
trip\01\00130.wav=Chloe!! @34352
trip\01\00131.wav=Chloe, @34472
trip\01\00132.wav=Chloe, @34588
trip\01\00133.wav=Chloe, @34704
trip\01\00134.wav=Chloe, @34820
trip\01\00135.wav=Chloe, @34936
trip\01\00136.wav=Chloe, @35052
trip\01\00137.wav=Chris, @35168
trip\01\00138.wav=Chris!! @35284
trip\01\00139.wav=Chris, @35404
trip\01\00140.wav=Chris, @35520
trip\01\00141.wav=Chris, @35636
trip\01\00142.wav=Chris, @35752
trip\01\00143.wav=Chris, @35868
trip\01\00144.wav=Chris, @35984
trip\01\00145.wav=Chris, @36100
trip\01\00146.wav=Chris!! @36216
